id_aluna,dt_feed,age_a,motivo_n_dirige,dif_area,tot_aulas,id_inst,nota_inst,nota_escola,feed,nota
e4917f3b,2025-02-26,42,Insegurança em rodovias/velocidade,Controle de embreagem (Subidas),10,Giovana Cordeiro,5.0,4.0,Positivo,Finalmente fiz minha rota para o trabalho. Obrigada Giovana Cordeiro por toda a paciência!
d7784c2c,2024-06-03,40,Insegurança em rodovias/velocidade,Dirigir em rodovias,9,Sueli Lopes,5.0,4.0,Positivo,O carro com direção hidráulica e ar fez toda a diferença.
1d2f6b13,2024-08-21,38,Trauma (acidente anterior),Dirigir em rodovias,10,Maria Eduarda,5.0,,Positivo,
e59ddcfc,2023-10-02,36,Falta de prática (anos sem dirigir),Estacionar (Baliza/Vaga de shopping),16,Sueli Lopes,4.0,4.0,Positivo,
0a76dd9c,2025-08-24,36,Falta de prática (anos sem dirigir),Manobras em geral (Ré),8,Aline dos Santos,4.0,4.0,Positivo,
3dfeae1f,2024-01-17,45,Trauma (acidente anterior),Dirigir à noite / Chuva,16,Giovana Cordeiro,5.0,5.0,Positivo,Perdi totalmente o medo de dirigir graças à escola. Recomendo muito!
05d6af15,2023-12-08,49,Trânsito intenso / Agressividade,Trânsito intenso (Mudar de faixa),14,Aline dos Santos,5.0,5.0,Positivo,Aprendi a dirigir em rodovia e hoje viajo sozinha. Gratidão à Aline dos Santos.
4b2c542b,2023-01-28,34,Insegurança em rodovias/velocidade,Controle de embreagem (Subidas),10,Maria Eduarda,5.0,4.0,Positivo,"Valeu o investimento, hoje tenho minha independência."
fbe52974,2025-05-23,23,Trauma (acidente anterior),Dirigir em rodovias,9,Aline dos Santos,,5.0,,
736e243a,2024-09-24,26,Medo de errar e ser julgada,Manobras em geral (Ré),13,Aline dos Santos,4.0,5.0,Positivo,A Aline dos Santos me ensinou 'macetes' de estacionamento que nenhuma autoescola ensina.
20a45b61,2024-06-08,51,Medo de ladeiras/subidas,Dirigir em rodovias,13,Sueli Lopes,5.0,,Positivo,"Em apenas 5 aulas com a Sueli Lopes, minha evolução foi gigantesca."
b1c52e33,2023-11-05,46,Ansiedade geral / Pânico,Manobras em geral (Ré),7,Fatima Reis,3.0,2.0,Negativo,Não senti que evoluí. A Fatima Reis não entendeu meu medo real.
0e777724,2023-07-06,45,Medo de ladeiras/subidas,Dirigir à noite / Chuva,7,Giovana Cordeiro,2.0,2.0,Negativo,"A Giovana Cordeiro é boa, mas a escola é desorganizada para marcar as aulas."
d4ddf881,2025-07-26,23,Trauma (acidente anterior),Dirigir à noite / Chuva,9,Sueli Lopes,4.0,5.0,Positivo,"Em apenas 5 aulas com a Sueli Lopes, minha evolução foi gigantesca."
61b5ccbe,2024-11-16,38,Trânsito intenso / Agressividade,Dirigir em rodovias,14,Maria Eduarda,4.0,,Positivo,A instrutora Maria Eduarda foi incrível! Super paciente e me devolveu a confiança.
3f94e186,2025-03-25,31,Trânsito intenso / Agressividade,Trânsito intenso (Mudar de faixa),16,Maria Eduarda,4.0,4.0,Positivo,"Valeu o investimento, hoje tenho minha independência."
cb68c60e,2023-10-01,27,Trânsito intenso / Agressividade,Estacionar (Baliza/Vaga de shopping),13,Maria Eduarda,4.0,5.0,Positivo,"Aulas focadas no que eu realmente precisava, sem enrolação."
9b94dfaa,2025-03-24,38,Ansiedade geral / Pânico,Manobras em geral (Ré),3,Giovana Cordeiro,3.0,2.0,Negativo,Cancelei uma aula com 24h de antecedência e mesmo assim a escola me cobrou.
ae6736e5,2023-10-14,51,Trauma (acidente anterior),Estacionar (Baliza/Vaga de shopping),10,Fatima Reis,1.0,4.0,Negativo,"A didática da Fatima Reis era confusa, ela falava muito rápido."
eb156e44,2023-02-22,54,Falta de prática (anos sem dirigir),Trânsito intenso (Mudar de faixa),11,Giovana Cordeiro,5.0,5.0,Positivo,"A comunicação com a escola é fácil, respondem rápido no WhatsApp."
7dd0daa6,2023-12-24,29,Trauma (acidente anterior),Manobras em geral (Ré),12,Giovana Cordeiro,5.0,4.0,Positivo,Aprendi a dirigir em rodovia e hoje viajo sozinha. Gratidão à Giovana Cordeiro.
0f41247a,2024-03-30,29,Medo de errar e ser julgada,Dirigir à noite / Chuva,10,Aline dos Santos,5.0,,Positivo,"Desde a recepção até a instrutora, todos na escola são muito atenciosos."
c2ce1a4e,2025-02-16,54,Medo de errar e ser julgada,Trânsito intenso (Mudar de faixa),16,Sueli Lopes,5.0,4.0,Positivo,A instrutora Sueli Lopes foi incrível! Super paciente e me devolveu a confiança.
98885a91,2025-01-20,27,Medo de ladeiras/subidas,Dirigir à noite / Chuva,19,Aline dos Santos,4.0,4.0,Positivo,O método de ensino é progressivo e respeita o limite da aluna.
52aa2c47,2025-07-29,50,Insegurança em rodovias/velocidade,Controle de embreagem (Subidas),13,Maria Eduarda,5.0,5.0,Positivo,
08faf288,2023-02-22,43,Ansiedade geral / Pânico,Dirigir à noite / Chuva,8,Fatima Reis,1.0,4.0,Negativo,
ad7d2a5d,2023-12-04,43,Falta de prática (anos sem dirigir),Dirigir à noite / Chuva,19,Maria Eduarda,4.0,4.0,Positivo,
f22e7add,2024-01-14,48,Trânsito intenso / Agressividade,Trânsito intenso (Mudar de faixa),17,Giovana Cordeiro,4.0,5.0,Positivo,Agora sim me sinto habilitada de verdade! Obrigada Giovana Cordeiro!
07ddf2e7,2025-06-11,36,Falta de prática (anos sem dirigir),Estacionar (Baliza/Vaga de shopping),12,Giovana Cordeiro,4.0,5.0,Positivo,Perdi totalmente o medo de dirigir graças à escola. Recomendo muito!
4aa08c81,2025-08-14,27,Trânsito intenso / Agressividade,Dirigir em rodovias,14,Giovana Cordeiro,4.0,5.0,Positivo,Ela me ensinou a dirigir na chuva e à noite. Estou pronta!
9c4bd00e,2024-05-20,48,Medo de ladeiras/subidas,Controle de embreagem (Subidas),20,Sueli Lopes,4.0,5.0,Positivo,Finalmente fiz minha rota para o trabalho. Obrigada Sueli Lopes por toda a paciência!
2fd6cd12,2023-10-08,51,Ansiedade geral / Pânico,Estacionar (Baliza/Vaga de shopping),7,Fatima Reis,3.0,2.0,Negativo,"Ela não me ensinou a estacionar direito, só ficamos andando pelo bairro."
20584143,2023-06-26,28,Ansiedade geral / Pânico,Manobras em geral (Ré),18,Giovana Cordeiro,4.0,4.0,Positivo,Ela entendeu exatamente meu medo (ladeiras) e focou nisso até eu me sentir segura.
c63f209b,2023-08-10,41,Falta de prática (anos sem dirigir),Manobras em geral (Ré),12,Maria Eduarda,4.0,5.0,Positivo,Recomendo a Maria Eduarda para qualquer pessoa que tenha pânico de dirigir.
09544d8c,2025-09-21,30,Ansiedade geral / Pânico,Estacionar (Baliza/Vaga de shopping),13,Giovana Cordeiro,,5.0,,Excelente didática. Agora consigo estacionar e andar no trânsito sem ansiedade.
cb6258cb,2023-02-18,34,Medo de ladeiras/subidas,Trânsito intenso (Mudar de faixa),8,Sueli Lopes,3.0,2.0,Negativo,Instrutora Sueli Lopes chegou atrasada e não pareceu se importar.
68cccb99,2023-02-04,34,Falta de prática (anos sem dirigir),Dirigir à noite / Chuva,5,Fatima Reis,2.0,,Negativo,A Fatima Reis ficava me apressando na hora de estacionar.
0bac5d52,2025-01-02,30,Medo de ladeiras/subidas,Trânsito intenso (Mudar de faixa),15,Maria Eduarda,5.0,,Positivo,"O atendimento da escola foi ótimo, e as aulas com a Maria Eduarda foram perfeitas."
42633276,2024-02-20,27,Medo de ladeiras/subidas,Controle de embreagem (Subidas),8,Fatima Reis,3.0,3.0,Negativo,"O ar-condicionado do carro estava quebrado, foi horrível dirigir no calor."
6dd71abe,2024-02-17,41,Insegurança em rodovias/velocidade,Manobras em geral (Ré),8,Sueli Lopes,5.0,5.0,Positivo,Agora sim me sinto habilitada de verdade! Obrigada Sueli Lopes!
024e974d,2023-02-20,44,Trauma (acidente anterior),Dirigir em rodovias,15,Aline dos Santos,4.0,5.0,Positivo,"Valeu o investimento, hoje tenho minha independência."
f2ae1bda,2025-06-06,44,Trânsito intenso / Agressividade,Manobras em geral (Ré),17,Giovana Cordeiro,5.0,5.0,Positivo,Excelente didática. Agora consigo estacionar e andar no trânsito sem ansiedade.
3ad8188f,2023-11-28,26,Medo de errar e ser julgada,Manobras em geral (Ré),18,Giovana Cordeiro,5.0,,Positivo,
bc059533,2024-06-16,39,Falta de prática (anos sem dirigir),Manobras em geral (Ré),19,Aline dos Santos,4.0,5.0,Positivo,Recomendo a Aline dos Santos para qualquer pessoa que tenha pânico de dirigir.
623638eb,2023-12-22,36,Falta de prática (anos sem dirigir),Controle de embreagem (Subidas),13,Sueli Lopes,5.0,5.0,Positivo,
de41fe19,2023-07-11,30,Trauma (acidente anterior),Trânsito intenso (Mudar de faixa),18,Aline dos Santos,5.0,4.0,Positivo,"O atendimento da escola foi ótimo, e as aulas com a Aline dos Santos foram perfeitas."
feafd48f,2024-10-10,23,Ansiedade geral / Pânico,Estacionar (Baliza/Vaga de shopping),18,Giovana Cordeiro,4.0,5.0,Positivo,Excelente didática. Agora consigo estacionar e andar no trânsito sem ansiedade.
d5e64d0f,2023-12-13,24,Falta de prática (anos sem dirigir),Dirigir em rodovias,18,Maria Eduarda,4.0,4.0,Positivo,"O atendimento da escola foi ótimo, e as aulas com a Maria Eduarda foram perfeitas."
b887e8ca,2023-05-12,52,Trauma (acidente anterior),Controle de embreagem (Subidas),17,Aline dos Santos,4.0,4.0,Positivo,Perdi totalmente o medo de dirigir graças à escola. Recomendo muito!
